name,ration,damege,image,event,value
ヒヨコ,61,40,pipo-enemy035,,
レッドヒヨコ,55,40,pipo-enemy035a,,
ダークヒヨッコ,97,19,pipo-enemy035b,,
元気な鶏,53,31,pipo-enemy036,,
怒った鶏,64,69,pipo-enemy036a,,
ダークコケコッコー,41,90,pipo-enemy036b,,
怒った熊,65,33,pipo-enemy037,,
ダークベアー,84,69,pipo-enemy037a,,
シロクマ,41,31,pipo-enemy037b,,
ジャック,48,30,pipo-enemy038,,
オー,64,99,pipo-enemy038a,,
ランタン,89,51,pipo-enemy038b,,
ガイコツマン,86,95,pipo-enemy039,,
ゴールド骨,87,64,pipo-enemy039a,,
ヘルスケルトン,82,78,pipo-enemy039b,,
スーパーコウモリ,66,48,pipo-enemy040,,
リーフコウモリ,75,52,pipo-enemy040a,,
バットマン,65,99,pipo-enemy040b,,
夜のキャットマン,78,51,pipo-enemy041,,
キャットマン,82,52,pipo-enemy041a,,
ホワイトキャット,45,69,pipo-enemy041b,,
チンアナゴ,50,55,pipo-enemy042,,
ライトフィッシュ,64,49,pipo-enemy042a,,
旅人ヲ惑ワス灯,92,87,pipo-enemy042b,,
死神王,96,67,pipo-enemy043,,
邪竜王,94,12,pipo-enemy044,,
邪竜,47,75,pipo-enemy044b,,
竜王,51,20,pipo-enemy044c,,
怒った竜王,98,10,pipo-enemy044d,,
シルバー竜王,79,53,pipo-enemy044e,,
ゴールド竜王,58,91,pipo-enemy044f,,
死神お化け,69,91,pipo-enemy045,,
お化け,68,91,pipo-enemy045a,,
呪イ神,61,31,pipo-enemy045b,,
ポイズンクラゲ,71,11,pipo-enemy046,,
クラゲ,89,13,pipo-enemy046a,,
ファイヤークラゲ,88,77,pipo-enemy046b,,
小悪魔,98,14,pipo-enemy047,,
悪魔の手下,94,15,pipo-enemy047a,,
冷鬼,52,90,pipo-enemy047b,,
呪いマン,99,91,pipo-enemy048,,
死神,50,29,pipo-enemy048a,,
幸神,50,27,pipo-enemy048b,,
空腹の豚,62,32,pipo-enemy049,,
ベルゼブブ,40,44,pipo-enemy049a,,
ゴールデンピッグ,93,30,pipo-enemy049b,,
動くダミー人形,99,61,pipo-enemy050,,
廃れた人形,91,71,pipo-enemy050a,,
ゴールド人形,97,38,pipo-enemy050b,,
